id,title,year,views,detail_link,thumbnail_url,cast,youtube_id,description
509,And Jegna,2015,191,https://yageru.com/info.php?pID=509&movNM=And Jegna,https://yageru.com/images/yt_movies/low_res/m509.jpg,"[{""name"": ""Kassahun Fisseha (Mandela)"", ""profile_image"": ""https://yageru.com/images/artists/a5.jpg""}, {""name"": ""Dereje Demeke"", ""profile_image"": ""https://yageru.com/images/artists/a78.jpg""}]",S9ASvL9n98g,N/A
519,Markan,2016,116,https://yageru.com/info.php?pID=519&movNM=Markan,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Eskedar Abay (Pina)"", ""profile_image"": ""https://yageru.com/images/artists/a135.jpg""}, {""name"": ""Desalegn Hailu"", ""profile_image"": ""https://yageru.com/images/artists/a45.jpg""}, {""name"": ""Eden Shimelis"", ""profile_image"": ""https://yageru.com/images/artists/a157.jpg""}]",H-VeqLFQzQI,N/A
508,Aleme,2015,138,https://yageru.com/info.php?pID=508&movNM=Aleme,https://yageru.com/images/yt_movies/low_res/m508.jpg,"[{""name"": ""Solomon Bogale"", ""profile_image"": ""https://yageru.com/images/artists/a16.jpg""}, {""name"": ""Feleke Kassa"", ""profile_image"": ""https://yageru.com/images/artists/a243.jpg""}]",2ZE61tHemZk,N/A
507,Yefikir Wagaw (Price of Love),2015,121,https://yageru.com/info.php?pID=507&movNM=Yefikir Wagaw (Price of Love),https://yageru.com/images/yt_movies/low_res/m507.jpg,"[{""name"": ""Solomon Teka"", ""profile_image"": ""https://yageru.com/images/artists/a73.jpg""}]",gFYxp52UOvk,N/A
518,Ewekulign,2015,497,https://yageru.com/info.php?pID=518&movNM=Ewekulign,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Yonas Assefa"", ""profile_image"": ""https://yageru.com/images/artists/a75.jpg""}, {""name"": ""Alemayehu Belayneh (Alex)"", ""profile_image"": ""https://yageru.com/images/artists/a51.jpg""}, {""name"": ""Girma Tadesse"", ""profile_image"": ""https://yageru.com/images/artists/a50.jpg""}, {""name"": ""Addisalem Getaneh"", ""profile_image"": ""https://yageru.com/images/artists/a22.jpg""}, {""name"": ""Zenebu Gesese"", ""profile_image"": ""https://yageru.com/images/artists/a146.jpg""}, {""name"": ""Getnet Feyissa (Janbo)"", ""profile_image"": ""https://yageru.com/images/artists/a210.jpg""}, {""name"": ""Abebe Temtim"", ""profile_image"": ""https://yageru.com/images/artists/a307.jpg""}]",33wqDC36qDM,N/A
517,Endebirabiro,2015,62,https://yageru.com/info.php?pID=517&movNM=Endebirabiro,https://yageru.com/images/yt_movies/low_res/m517.jpg,"[{""name"": ""Abebe Worku"", ""profile_image"": ""https://yageru.com/images/artists/a107.jpg""}]",BMDJtuoahWs,N/A
506,Yehamle Mushira,2015,206,https://yageru.com/info.php?pID=506&movNM=Yehamle Mushira,https://yageru.com/images/yt_movies/low_res/m506.jpg,"[{""name"": ""Mesfin Haileyesus"", ""profile_image"": ""https://yageru.com/images/artists/a33.jpg""}, {""name"": ""Samson Mekonnen"", ""profile_image"": ""https://yageru.com/images/artists/a140.jpg""}, {""name"": ""Tsegaye Abegaz (Aboy)"", ""profile_image"": ""https://yageru.com/images/artists/a207.jpg""}, {""name"": ""Seyoum Tefera"", ""profile_image"": ""https://yageru.com/images/artists/a295.jpg""}, {""name"": ""Rahel Girma"", ""profile_image"": ""https://yageru.com/images/artists/a315.jpg""}, {""name"": ""Getnet Feyissa (Janbo)"", ""profile_image"": ""https://yageru.com/images/artists/a210.jpg""}]",BsnbxO8YAVI,N/A
505,Adinas,2015,422,https://yageru.com/info.php?pID=505&movNM=Adinas,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Roman Befkadu"", ""profile_image"": ""https://yageru.com/images/artists/a154.jpg""}, {""name"": ""Behailu Mammo"", ""profile_image"": ""https://yageru.com/images/artists/a155.jpg""}, {""name"": ""Demise Beyene"", ""profile_image"": ""https://yageru.com/images/artists/a153.jpg""}, {""name"": ""Feleke Kassa"", ""profile_image"": ""https://yageru.com/images/artists/a243.jpg""}, {""name"": ""Abebe Temtim"", ""profile_image"": ""https://yageru.com/images/artists/a307.jpg""}, {""name"": ""Rahel Girma"", ""profile_image"": ""https://yageru.com/images/artists/a315.jpg""}]",ZELSaEuZhpY,N/A
516,Gura Bicha,2018,344,https://yageru.com/info.php?pID=516&movNM=Gura Bicha,https://yageru.com/images/yt_movies/low_res/m516.jpg,"[{""name"": ""Kassahun Fisseha (Mandela)"", ""profile_image"": ""https://yageru.com/images/artists/a5.jpg""}, {""name"": ""Getachew Ejigu (Janwar)"", ""profile_image"": ""https://yageru.com/images/artists/a81.jpg""}, {""name"": ""Sonia Noel (Vida)"", ""profile_image"": ""https://yageru.com/images/artists/a162.jpg""}]",RHmOesEYXCw,N/A
515,Yeterabe Habtam,2015,57,https://yageru.com/info.php?pID=515&movNM=Yeterabe Habtam,https://yageru.com/images/yt_movies/low_res/m515.jpg,"[{""name"": ""Sintayehu Kifle"", ""profile_image"": ""https://yageru.com/images/artists/a134.jpg""}, {""name"": ""Mesfin Gashaw"", ""profile_image"": ""https://yageru.com/images/artists/a136.jpg""}, {""name"": ""Sebsibe Zergaw"", ""profile_image"": ""https://yageru.com/images/artists/a227.jpg""}]",td-IED4ePtA,N/A
